[[Items	430	
		0	0	0	0	2	0
Helm Splitter	Helm Splitter	1	1	0	0	2	0
Typhoeus' Maul	Typhoeus' Maul	1	1	0	0	2	0
Monster Masher	Monster Masher	1	1	0	0	2	0
Penny Pincher	Penny Pincher	1	1	0	0	2	0
Devil Crusher	Devil Crusher	1	1	0	0	2	0
Grim Reaper	Grim Reaper	1	1	0	0	2	0
Assassin's Stab	Assassin's Stab	1	2	0	0	2	0
Sudden Death	Sudden Death	1	1	0	0	2	0
Toxic Sword	Toxic Sword	1	1	0	0	2	0
Whiplash	Whiplash	1	1	0	0	2	0
Twin Dragon Lash	Twin Dragon Lash	1	1	0	0	2	0
Serpent's Bite	Serpent's Bite	1	1	0	0	2	0
Lashings of Love	Lashings of Love	1	1	0	0	2	0
Lady's Thong	Lady's Thong	1	1	0	0	2	0
Shining Shot	Shining Shot	1	1	0	0	2	0
Sandman's Arrow	Sandman's Arrow	1	1	0	0	2	0
Seraph's Arrow	Seraph's Arrow	1	1	0	0	2	0
Caduceus	Caduceus	1	1	0	0	2	0
Blow Kiss	Blow Kiss	1	1	0	0	2	0
Hip Drop	Hip Drop	1	1	0	0	2	0
Sexy Beam	Sexy Beam	1	1	0	0	2	0
Pink Typhoon	Pink Typhoon	1	1	0	0	2	0
Miracle Moon	Miracle Moon	1	1	0	0	2	0
Charming Look	Charming Look	1	1	0	0	2	0
Multithrust	Multithrust	1	1	0	0	2	0
Gigaflash	Gigaflash	1	1	0	0	2	0
Tongue Lashing	Tongue Lashing	1	1	0	0	2	0
Silly Song	Silly Song	1	1	0	0	2	0
Counting Sheep	Counting Sheep	1	1	0	0	2	0
Spooky Aura	Spooky Aura	1	1	0	0	2	0
Angel Song	Angel Song	1	2	0	0	2	0
Incantation	Incantation	1	2	0	0	2	0
Party Split	Party Split	1	1	0	0	2	0
Rubble Attack	Rubble Attack	1	1	0	0	2	0
Rush	Rush	1	1	0	0	2	0
Sheep Call	Sheep Call	1	1	0	0	2	0
Nosedive	Nosedive	1	1	0	0	2	0
Occult Attack	Occult Attack	1	2	0	0	2	0
Lv. 10 Wind Sickle	Lv. 10 Wind Sickle	1	1	0	0	2	0
Lv. 60 Wind Sickle	Lv. 60 Wind Sickle	1	1	0	0	2	0
Lv. 10 Thin Air	Lv. 10 Thin Air	1	1	0	0	2	0
Lv. 60 Thin Air	Lv. 60 Thin Air	1	1	0	0	2	0
Birdcutter	Birdcutter	1	1	0	0	2	0
Groundstrike	Groundstrike	1	1	0	0	2	0
Beam	Beam	1	1	0	0	2	0
Featherain	Featherain	1	1	0	0	2	0
Spin Attack	Spin Attack	1	1	0	0	2	0
Twist Attack	Twist Attack	1	1	0	0	2	0
Shockwave	Shockwave	1	1	0	0	2	0
Bellyflop	Bellyflop	1	1	0	0	2	0
Throwdown	Throwdown	1	1	0	0	2	0
Wrath of the Gods	Wrath of the Gods	1	1	0	0	2	0
Poison Salvo	Poison Salvo	1	1	0	0	2	0
Defencive Offence	Defencive Offence	1	1	0	0	2	0
Psyche<->Out	Psyche<->Out	1	1	0	0	2	0
Flex<->Out	Flex<->Out	1	1	0	0	2	0
Foxtrot	Foxtrot	1	1	0	0	2	0
Lame Story	Lame Story	1	1	0	0	2	0
Exciting Tale	Exciting Tale	1	2	0	0	2	0
Funny Story	Funny Story	1	1	0	0	2	0
Frighten	Frighten	1	1	0	0	2	0
Dragovian Seal	Dragovian Seal	1	1	0	0	2	0
Cursed Song	Cursed Song	1	1	0	0	2	0
Cursed Tune	Cursed Tune	1	1	0	0	2	0
Cursed Mist	Cursed Mist	1	1	0	0	2	0
Cursed Attack	Cursed Attack	1	1	0	0	2	0
Skipturn Attack	Skipturn Attack	1	1	0	0	2	0
Collar Catapult	Collar Catapult	1	1	0	0	2	0
Curseball	Curseball	1	1	0	0	2	0
Pointer	Pointer	1	1	0	0	2	0
Thorntwine	Thorntwine	1	1	0	0	2	0
Cacophony	Cacophony	1	1	0	0	2	0
Snow Throw	Snow Throw	1	1	0	0	2	0
Meteor Strike	Meteor Strike	1	1	0	0	2	0
Chimaera Breath	Chimaera Breath	1	1	0	0	2	0
Coda Chime	Coda Chime	1	1	0	0	2	0
Salvation Swig	Salvation Swig	1	1	0	0	2	0
Yggdrasil leaf	Yggdrasil leaf	1	1	0	0	2	0
Dark Macarbour Leaf	Dark Macarbour Leaves	1	1	0	0	2	0
Sarcastic Snigger	Sarcastic Snigger	1	1	0	0	2	0
Love Story	Love Story	1	1	0	0	2	0
Executioner	Executioner	1	2	0	0	2	0
Stainless Steal Sickle	Stainless Steal Sickle	1	1	0	0	2	0
Big Banga	Big Banga	1	1	0	0	2	0
Super Throw	Super Throw	1	1	0	0	2	0
Mind Breaker	Mind Breaker	1	1	0	0	2	0
Gold Rush	Gold Rush	1	1	0	0	2	0
Grimmer Reaper	Grimmer Reaper	1	1	0	0	2	0
Toxic Dagger	Toxic Dagger	1	1	0	0	2	0
Queen's Thong	Queen's Thong	1	1	0	0	2	0
Needle Rain	Needle Rain	1	1	0	0	2	0
Cherub's Arrow	Cherub's Arrow	1	1	0	0	2	0
Angel Eyes	Angel Eyes	1	2	0	0	2	0
Chilling Chuckle	Chilling Chuckle	1	1	0	0	2	0
Thunder Thrust	Thunder Thrust	1	1	0	0	2	0
Lightning Thrust	Lightning Thrust	1	1	0	0	2	0
Gigagash	Gigagash	1	1	0	0	2	0
Dragon Soul	Dragon Souls	0	0	0	0	2	0
Megawhip	Megawhip	1	1	0	0	2	0
medicinal herb	medicinal herbs	1	1	1	1	2	0
Other herb	Other herb	0	0	0	0	2	0
FLAME BARRIER EFFECT	FLAME BARRIER EFFECT	0	0	0	0	2	0
ICE BARRIER EFFECT	ICE BARRIER EFFECT	0	0	0	0	2	0
antidotal herb	antidotal herb	0	0	0	0	2	0
mini medal	mini medal	0	0	0	0	2	0
Yggdrasil leaf	Yggdrasil leaf	1	2	0	0	2	0
world map	world map	0	0	0	0	2	0
tool bag	tool bag	0	0	0	0	2	0
Jessica's letter	Jessica's letter	0	0	0	0	2	0
holy water	holy water	0	0	0	0	2	0
holy water	holy water	0	0	0	0	2	0
chimaera wing	chimaera wing	0	0	0	0	2	0
seed of wisdom	seed of wisdom	0	0	0	0	2	0
seed of strength	seed of strength	0	0	0	0	2	0
seed of agility	seed of agility	0	0	0	0	2	0
seed of defence	seed of defence	0	0	0	0	2	0
seed of life	seed of life	0	0	0	0	2	0
seed of magic	seed of magic	0	0	0	0	2	0
thief's key recipe	thief's key recipe	0	0	0	0	2	0
dream blade	dream blade	0	0	0	0	2	0
Dragovian sword	Dragovian sword	0	0	0	0	2	0
Dragovian king sword	Dragovian king sword	0	0	0	0	2	0
icicle dirk	icicle dirk	0	0	0	0	2	0
wizard's staff	wizard's staff	0	0	0	0	2	0
lightning staff	lightning staff	0	0	0	0	2	0
staff of divine wrath	staff of divine wrath	0	0	0	0	2	0
magma staff	magma staff	0	0	0	0	2	0
staff of antimagic	staff of antimagic	0	0	0	0	2	0
rune staff	rune staff	0	0	0	0	2	0
staff of resurrection	staff of resurrection	0	0	0	0	2	0
Cheiron's bow	Cheiron's bow	0	0	0	0	2	0
power shield	power shield	0	0	0	0	2	0
big boss shield	big boss shield	0	0	0	0	2	0
Hermes' hat	Hermes' hat	0	0	0	0	2	0
prayer ring	prayer ring	0	0	0	0	2	0
moonwort bulb	moonwort bulb	0	0	0	0	2	0
strong medicine	strong medicine	0	0	0	0	2	0
special medicine	special medicine	0	0	0	0	2	0
lesser panacea	lesser panacea	0	0	0	0	2	0
greater panacea	greater panacea	0	0	0	0	2	0
rose<->root	rose<->root	0	0	0	0	2	0
rose<->wort	rose<->wort	0	0	0	0	2	0
strong antidote	strong antidote	0	0	0	0	2	0
special antidote	special antidote	0	0	0	0	2	0
moon's mercy	moon's mercy	0	0	0	0	2	0
mystifying mixture	mystifying mixture	0	0	0	0	2	0
Yggdrasil dew	Yggdrasil dew	1	2	0	0	2	0
amor seco essence	amor seco essence	0	0	0	0	2	0
magic water	magic water	0	0	0	0	2	0
elfin elixir	elfin elixir	0	0	0	0	2	0
rockbomb shard	rockbomb shard	0	0	0	0	2	0
sage's stone	sage's stone	0	0	0	0	2	0
seed of skill	seed of skill	0	0	0	0	2	0
timbrel of tension	timbrel of tension	0	0	0	0	2	0
plain cheese	plain cheese	0	0	0	0	2	0
spicy cheese	spicy cheese	0	0	0	0	2	0
super spicy cheese	super spicy cheese	0	0	0	0	2	0
scorching cheese	scorching cheese	0	0	0	0	2	0
cool cheese	cool cheese	0	0	0	0	2	0
chilly cheese	chilly cheese	0	0	0	0	2	0
cold cheese	cold cheese	0	0	0	0	2	0
c-c-cold cheese	c-c-cold cheese	0	0	0	0	2	0
mild cheese	mild cheese	0	0	0	0	2	0
cured cheese	cured cheese	0	0	0	0	2	0
angel cheese	angel cheese	0	0	0	0	2	0
hard cheese	hard cheese	0	0	0	0	2	0
soft cheese	soft cheese	0	0	0	0	2	0
chunky cheese	chunky cheese	0	0	0	0	2	0
highly strung cheese	highly strung cheese	0	0	0	0	2	0
gold nugget	gold nugget	0	0	0	0	2	0
cowpat	cowpat	0	0	0	0	2	0
dragon dung	dragon dung	0	0	0	0	2	0
sandstorm spear	sandstorm spear	0	0	0	0	2	0
	Godbird sceptre	0	0	0	0	2	0
crystal ball	crystal ball	0	0	0	0	2	0
Eros' bow recipe	Eros' bow recipe	0	0	0	0	2	0
imp knife recipe	imp knife recipe	0	0	0	0	2	0
dragon slayer recipe	dragon slayer recipe	0	0	0	0	2	0
‘The Big Book of Barriers’	‘The Big Book of Barriers’	0	0	0	0	2	0
Venus' tear	Venus' tear	0	0	0	0	2	0
Moonshadow harp	Moonshadow harp	0	0	0	0	2	0
sand of sending	sand of sending	0	0	0	0	2	0
Argon heart	Argon heart	0	0	0	0	2	0
great big Argon heart	great big Argon heart	0	0	0	0	2	0
magic mirror	magic mirror	0	0	0	0	2	0
magic mirror	magic mirror	0	0	0	0	2	0
sun mirror	sun mirror	0	0	0	0	2	0
Kran Spinels	Kran Spinels	0	0	0	0	2	0
Godbird's soulstone	Godbird's soulstone	0	0	0	0	2	0
thief's key	thief's key	0	0	0	0	2	0
magic key	magic key	0	0	0	0	2	0
ultimate key	ultimate key	0	0	0	0	2	0
Templar's ring	Templar's ring	0	0	0	0	2	0
Templar Captain's ring	Templar Captain's ring	0	0	0	0	2	0
Argon ring	Argon ring	0	0	0	0	2	0
bunny tail	bunny tail	0	0	0	0	2	0
illuminated sea chart	illuminated sea chart	0	0	0	0	2	0
Darktree leaf	Darktree leaf	1	8	0	0	2	0
Marta's bag	Marta's bag	0	0	0	0	2	0
Morrie's Memo	Morrie's Memo	0	0	0	0	2	0
double bubble	double bubble	1	1	0	0	2	0
eau de monster	eau de monster	1	2	0	0	2	0
super seed of skill	super seed of skill	1	1	0	0	2	0
Baumren's bell	Baumren's bell	0	0	0	0	2	0
Baumren's bell	Baumren's bell	0	0	0	0	2	0
lizard humour	lizard humour	0	0	0	0	2	0
Flee	Flee	0	0	0	0	2	0
Flee	Flee	0	0	0	0	2	0
FRIGHTENED AND FLEES	FRIGHTENED AND FLEES	0	0	0	0	2	0
Voice Call	Voice Call	1	1	0	0	2	0
Damage	Damage	0	0	0	0	2	0
No Damage	No Damage	0	0	0	0	2	0
Venom Damage	Venom Damage	0	0	0	0	2	0
Defend	Defend	0	0	0	0	2	0
DEFEND 1	DEFEND 1	0	0	0	0	2	0
DEFEND 2	DEFEND 2	0	0	0	0	2	0
INTIMIDATE	INTIMIDATE	0	0	0	0	2	0
Dismiss Team	Dismiss Team	0	0	0	0	2	0
Holy Protection	Holy Protection	0	0	0	0	2	0
Rapture	Rapture	1	1	0	0	2	0
RUNS ROUND IN CONFUSION	RUNS ROUND IN CONFUSION	0	0	0	0	2	0
AT A LOSS IN CONFUSION	AT A LOSS IN CONFUSION	0	0	0	0	2	0
FROZEN IN CONFUSION	FROZEN IN CONFUSION	0	0	0	0	2	0
PARALYSED IN CONFUSION	PARALYSED IN CONFUSION	0	0	0	0	2	0
FAILS TO CALL FRIENDS IN CONFUSION	FAILS TO CALL FRIENDS IN CONFUSION	0	0	0	0	2	0
FLEES IN CONFUSION	FLEES IN CONFUSION	0	0	0	0	2	0
Psyche Up	Psyche Up	0	0	0	0	2	0
PSYCHE TENSION 2	PSYCHE TENSION 2	0	0	0	0	2	0
PSYCHE TENSION 3	PSYCHE TENSION 3	0	0	0	0	2	0
PSYCHE TENSION 4	PSYCHE TENSION 4	0	0	0	0	2	0
PSYCHE TENSION 5	PSYCHE TENSION 5	0	0	0	0	2	0
NO EFFECT IN BATTLE ITEM	NO EFFECT IN BATTLE ITEM	0	0	0	0	2	0
NO EFFECT IN BATTLE ITEM	NO EFFECT IN BATTLE ITEM	0	0	0	0	2	0
NO EFFECT ITEM	NO EFFECT ITEM	0	0	0	0	2	0
NO EFFECT ITEM 2	NO EFFECT ITEM 2	0	0	0	0	2	0
NO EFFECT ITEM 3	NO EFFECT ITEM 3	0	0	0	0	2	0
NO EFFECT ITEM 4	NO EFFECT ITEM 4	0	0	0	0	2	0
NO EFFECT ITEM 5	NO EFFECT ITEM 5	0	0	0	0	2	0
NO EFFECT ITEM 6	NO EFFECT ITEM 6	0	0	0	0	2	0
CALL SAME TYPE MONSTER 1	CALL SAME TYPE MONSTER 1	0	0	0	0	2	0
CALL SAME TYPE MONSTER 2	CALL SAME TYPE MONSTER 2	0	0	0	0	2	0
CALL SAME TYPE MONSTER 3	CALL SAME TYPE MONSTER 3	0	0	0	0	2	0
CALL SAME TYPE MONSTER 4	CALL SAME TYPE MONSTER 4	0	0	0	0	2	0
CALL SAME TYPE MONSTER 5	CALL SAME TYPE MONSTER 5	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 1	CALL DIFF. TYPE MONSTER 1	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 2	CALL DIFF. TYPE MONSTER 2	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 3	CALL DIFF. TYPE MONSTER 3	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 4	CALL DIFF. TYPE MONSTER 4	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 5	CALL DIFF. TYPE MONSTER 5	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 6	CALL DIFF. TYPE MONSTER 6	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 7	CALL DIFF. TYPE MONSTER 7	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 8	CALL DIFF. TYPE MONSTER 8	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 9	CALL DIFF. TYPE MONSTER 9	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 10	CALL DIFF. TYPE MONSTER 10	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 11	CALL DIFF. TYPE MONSTER 11	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 12	CALL DIFF. TYPE MONSTER 12	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 13	CALL DIFF. TYPE MONSTER 13	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 14	CALL DIFF. TYPE MONSTER 14	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 15	CALL DIFF. TYPE MONSTER 15	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 16	CALL DIFF. TYPE MONSTER 16	0	0	0	0	2	0
CALL DIFF. TYPE MONSTER 17	CALL DIFF. TYPE MONSTER 17	0	0	0	0	2	0
MESSAGE ATTACK 1	MESSAGE ATTACK 1	0	0	0	0	2	0
MESSAGE ATTACK 2	MESSAGE ATTACK 2	0	0	0	0	2	0
MESSAGE ATTACK 3	MESSAGE ATTACK 3	0	0	0	0	2	0
MESSAGE ATTACK 4	MESSAGE ATTACK 4	0	0	0	0	2	0
MESSAGE ATTACK 5	MESSAGE ATTACK 5	0	0	0	0	2	0
MESSAGE ATTACK 6	MESSAGE ATTACK 6	0	0	0	0	2	0
MESSAGE ATTACK 7	MESSAGE ATTACK 7	0	0	0	0	2	0
MESSAGE ATTACK 8	MESSAGE ATTACK 8	0	0	0	0	2	0
MESSAGE ATTACK 9	MESSAGE ATTACK 9	0	0	0	0	2	0
MESSAGE ATTACK 10	MESSAGE ATTACK 10	0	0	0	0	2	0
MESSAGE ATTACK 11	MESSAGE ATTACK 11	0	0	0	0	2	0
MESSAGE ATTACK 12	MESSAGE ATTACK 12	0	0	0	0	2	0
MESSAGE ATTACK 13	MESSAGE ATTACK 13	0	0	0	0	2	0
MESSAGE ATTACK 14	MESSAGE ATTACK 14	0	0	0	0	2	0
MESSAGE ATTACK 15	MESSAGE ATTACK 15	0	0	0	0	2	0
MESSAGE ATTACK 16	MESSAGE ATTACK 16	0	0	0	0	2	0
MESSAGE ATTACK 17	MESSAGE ATTACK 17	0	0	0	0	2	0
MESSAGE ATTACK 18	MESSAGE ATTACK 18	0	0	0	0	2	0
DO NOTHING 1	DO NOTHING 1	0	0	0	0	2	0
DO NOTHING 2	DO NOTHING 2	0	0	0	0	2	0
DO NOTHING 3	DO NOTHING 3	0	0	0	0	2	0
DO NOTHING 4	DO NOTHING 4	0	0	0	0	2	0
DO NOTHING 5	DO NOTHING 5	0	0	0	0	2	0
DO NOTHING 6	DO NOTHING 6	0	0	0	0	2	0
DO NOTHING 7	DO NOTHING 7	0	0	0	0	2	0
DO NOTHING 8	DO NOTHING 8	0	0	0	0	2	0
DO NOTHING 9	DO NOTHING 9	0	0	0	0	2	0
DO NOTHING 10	DO NOTHING 10	0	0	0	0	2	0
DO NOTHING 11	DO NOTHING 11	0	0	0	0	2	0
DO NOTHING 12	DO NOTHING 12	0	0	0	0	2	0
DO NOTHING 13	DO NOTHING 13	0	0	0	0	2	0
DO NOTHING 14	DO NOTHING 14	0	0	0	0	2	0
DO NOTHING 15	DO NOTHING 15	0	0	0	0	2	0
DO NOTHING 16	DO NOTHING 16	0	0	0	0	2	0
DO NOTHING 17	DO NOTHING 17	0	0	0	0	2	0
DO NOTHING 18	DO NOTHING 18	0	0	0	0	2	0
DO NOTHING 19	DO NOTHING 19	0	0	0	0	2	0
PARAMETER CHANGE 1	PARAMETER CHANGE 1	0	0	0	0	2	0
PARAMETER CHANGE 2	PARAMETER CHANGE 2	0	0	0	0	2	0
PARAMETER CHANGE 3	PARAMETER CHANGE 3	0	0	0	0	2	0
PARAMETER CHANGE 4	PARAMETER CHANGE 4	0	0	0	0	2	0
PARAMETER CHANGE 5	PARAMETER CHANGE 5	0	0	0	0	2	0
PARAMETER CHANGE 6	PARAMETER CHANGE 6	0	0	0	0	2	0
PARAMETER CHANGE 7	PARAMETER CHANGE 7	0	0	0	0	2	0
PARAMETER CHANGE 8	PARAMETER CHANGE 8	0	0	0	0	2	0
PARAMETER CHANGE 9	PARAMETER CHANGE 9	0	0	0	0	2	0
PARAMETER CHANGE 10	PARAMETER CHANGE 10	0	0	0	0	2	0
PARAMETER CHANGE 11	PARAMETER CHANGE 11	0	0	0	0	2	0
PARAMETER CHANGE 12	PARAMETER CHANGE 12	0	0	0	0	2	0
PARAMETER CHANGE 13	PARAMETER CHANGE 13	0	0	0	0	2	0
PARAMETER CHANGE 14	PARAMETER CHANGE 14	0	0	0	0	2	0
PARAMETER CHANGE 15	PARAMETER CHANGE 15	0	0	0	0	2	0
PARAMETER CHANGE 16	PARAMETER CHANGE 16	0	0	0	0	2	0
PARAMETER CHANGE 17	PARAMETER CHANGE 17	0	0	0	0	2	0
PARAMETER CHANGE 18	PARAMETER CHANGE 18	0	0	0	0	2	0
PARAMETER CHANGE 19	PARAMETER CHANGE 19	0	0	0	0	2	0
PARAMETER CHANGE 20	PARAMETER CHANGE 20	0	0	0	0	2	0
PARAMETER CHANGE 21	PARAMETER CHANGE 21	0	0	0	0	2	0
PARAMETER CHANGE 22	PARAMETER CHANGE 22	0	0	0	0	2	0
PARAMETER CHANGE 23	PARAMETER CHANGE 23	0	0	0	0	2	0
PARAMETER CHANGE 24	PARAMETER CHANGE 24	0	0	0	0	2	0
PARAMETER CHANGE 25	PARAMETER CHANGE 25	0	0	0	0	2	0
PARAMETER CHANGE 26	PARAMETER CHANGE 26	0	0	0	0	2	0
PARAMETER CHANGE 27	PARAMETER CHANGE 27	0	0	0	0	2	0
PARAMETER CHANGE 28	PARAMETER CHANGE 28	0	0	0	0	2	0
PARAMETER CHANGE 29	PARAMETER CHANGE 29	0	0	0	0	2	0
PARAMETER CHANGE 30	PARAMETER CHANGE 30	0	0	0	0	2	0
PARAMETER CHANGE 31	PARAMETER CHANGE 31	0	0	0	0	2	0
PARAMETER CHANGE 32	PARAMETER CHANGE 32	0	0	0	0	2	0
PARAMETER CHANGE 33	PARAMETER CHANGE 33	0	0	0	0	2	0
PARAMETER CHANGE 34	PARAMETER CHANGE 34	0	0	0	0	2	0
PARAMETER CHANGE 35	PARAMETER CHANGE 35	0	0	0	0	2	0
PARAMETER CHANGE 36	PARAMETER CHANGE 36	0	0	0	0	2	0
PARAMETER CHANGE 37	PARAMETER CHANGE 37	0	0	0	0	2	0
PARAMETER CHANGE 38	PARAMETER CHANGE 38	0	0	0	0	2	0
PARAMETER CHANGE 39	PARAMETER CHANGE 39	0	0	0	0	2	0
PARAMETER CHANGE 40	PARAMETER CHANGE 40	0	0	0	0	2	0
PARAMETER CHANGE 41	PARAMETER CHANGE 41	0	0	0	0	2	0
PARAMETER CHANGE 42	PARAMETER CHANGE 42	0	0	0	0	2	0
PARAMETER CHANGE 43	PARAMETER CHANGE 43	0	0	0	0	2	0
PARAMETER CHANGE 44	PARAMETER CHANGE 44	0	0	0	0	2	0
PARAMETER CHANGE 45	PARAMETER CHANGE 45	0	0	0	0	2	0
PARAMETER CHANGE 46	PARAMETER CHANGE 46	0	0	0	0	2	0
PARAMETER CHANGE 47	PARAMETER CHANGE 47	0	0	0	0	2	0
PARAMETER CHANGE 48	PARAMETER CHANGE 48	0	0	0	0	2	0
PARAMETER CHANGE 49	PARAMETER CHANGE 49	0	0	0	0	2	0
PARAMETER CHANGE 50	PARAMETER CHANGE 50	0	0	0	0	2	0
PARAMETER CHANGE 51	PARAMETER CHANGE 51	0	0	0	0	2	0
PARAMETER CHANGE 52	PARAMETER CHANGE 52	0	0	0	0	2	0
PARAMETER CHANGE 53	PARAMETER CHANGE 53	0	0	0	0	2	0
Triple Swords	Triple Swords	1	1	0	0	2	0
Jolly Jousters	Jolly Jousters	1	1	0	0	2	0
Omniheal	Omniheal	1	2	0	0	2	0
Riders' Carnival	Riders' Carnival	1	1	0	0	2	0
Metal Panic	Metal Panic	1	1	0	0	2	0
Tension Boost	Tension Boost	1	1	0	0	2	0
Good as Gold	Good as Gold	1	1	0	0	2	0
Zingslinger	Zingslinger	1	1	0	0	2	0
Dirge	Dirge	1	1	0	0	2	0
Maximaster	Maximaster	1	1	0	0	2	0
DUMMY-MEDOROURA	DUMMY-MEDOROURA	0	0	0	0	2	0
Big Bang	Big Bang	1	1	0	0	2	0
Magic Burst	Magic Burst	1	1	0	0	2	0
Magic Burst	Magic Burst	1	1	0	0	2	0
Magic Burst	Magic Burst	1	1	0	0	2	0
Multi Masher	Multi Masher	1	1	0	0	2	0
Typhoeus' Maul	Typhoeus' Maul	1	1	0	0	2	0
Mind Breaker	Mind Breaker	1	1	0	0	2	0
Supersize Slime	Supersize Slime	1	1	0	0	2	0
Dracky Fusion	Dracky Fusion	1	1	0	0	2	0
Stream Killer Attack	Stream Killer Attack	1	1	0	0	2	0
Sapper Slapper	Sapper Slapper	1	1	0	0	2	0
Love Typhoon	Love Typhoon	1	1	0	0	2	0
Slime Spank	Slime Spank	1	1	0	0	2	0
Golemator	Golemator	1	1	0	0	2	0
Harrowing Arrow	Harrowing Arrow	1	1	0	0	2	0
Elemental Storm	Elemental Storm	1	2	0	0	2	0
Multiheal	Multiheal	1	1	0	0	2	0
EVAC FAILED	EVAC FAILED	0	0	0	0	2	0
EVAC FAILED	EVAC FAILED	0	0	0	0	2	0
ZOOM FAILED	ZOOM FAILED	0	0	0	0	2	0
GODBIRD'S SOULSTONE FAILED	GODBIRD'S SOULSTONE FAILED	0	0	0	0	2	0
CHIMAERA WING FAILED	CHIMAERA WING FAILED	0	0	0	0	2	0
HERMES' HAT FAILED	HERMES' HAT FAILED	0	0	0	0	2	0
Flower Shower	Flower Shower	1	1	0	0	2	0
Water Slaughterer	Water Slaughterer	1	1	0	0	2	0
Fan Dango	Fan Dango	1	1	0	0	2	0
Dance of Life	Dance of Life	1	1	0	0	2	0
Butterfly Bop	Butterfly Bop	1	1	0	0	2	0
Hypnowhip	Hypnowhip	1	1	0	0	2	0
Lashings of Lashings	Lashings of Lashings	1	1	0	0	2	0
Twin Tan	Twin Tan	1	1	0	0	2	0
Whip Whack	Whip Whack	1	1	0	0	2	0
Miracle Cleavage	Miracle Cleavage	1	1	0	0	2	0
Blade Cascade	Blade Cascade	1	1	0	0	2	0
Dosh Toss	Dosh Toss	1	1	0	0	2	0
Fire in the 'Ole	Fire in the 'Ole	1	1	0	0	2	0
Propeller Blades	Propeller Blades	1	1	0	0	2	0
Can Opener	Can Opener	1	1	0	0	2	0
Hardclaws	Hardclaws	1	1	0	0	2	0
Rake 'n' Break	Rake 'n' Break	1	1	0	0	2	0
Hand of God	Hand of God	1	1	0	0	2	0
Shattershield	Shattershield	1	1	0	0	2	0
POWER Pound	POWER Pound	1	1	0	0	2	0
POWER Pummel	POWER Pummel	1	1	0	0	2	0
Feel the Beat	Feel the Beat	1	1	0	0	2	0
Ooze Bruiser	Ooze Bruiser	1	2	0	0	2	0
Metal Mower	Metal Mower	1	1	0	0	2	0
Swing Both Ways	Swing Both Ways	1	1	0	0	2	0
PASSION Plunge	PASSION Plunge	1	1	0	0	2	0
Pit of Fire	Pit of Fire	1	1	0	0	2	0
Arena of Flames	Arena of Flames	1	2	0	0	2	0
Pit Stop	Pit Stop	1	1	0	0	2	0
GRANDE GUSTO	GRANDE GUSTO	1	1	0	0	2	0
Monster Mia	Monster Mia	1	1	0	0	2	0
UNDECIDED	UNDECIDED	0	0	0	0	2	0
FRIGHTENED AND ATTACKS	FRIGHTENED AND ATTACKS	0	0	0	0	2	0
FRIGHTENED AND IN SHOCK	FRIGHTENED AND IN SHOCK	0	0	0	0	2	0
FRIGHTENED AND UNRESPONSIVE	FRIGHTENED AND UNRESPONSIVE	0	0	0	0	2	0
PARALYSED AND CAN'T MOVE	PARALYSED AND CAN'T MOVE	0	0	0	0	2	0
ASLEEP AND CAN'T MOVE	ASLEEP AND CAN'T MOVE	0	0	0	0	2	0
THORNTWINED AND CAN'T MOVE	THORNTWINED AND CAN'T MOVE	0	0	0	0	2	0
ENTHRALLED AND CAN'T MOVE	ENTHRALLED AND CAN'T MOVE	0	0	0	0	2	0
DANCING AND CAN'T MOVE	DANCING AND CAN'T MOVE	0	0	0	0	2	0
SCARED AND CAN'T MOVE	SCARED AND CAN'T MOVE	0	0	0	0	2	0
TREMBLING AND CAN'T MOVE	TREMBLING AND CAN'T MOVE	0	0	0	0	2	0
LAUGHING AND CAN'T MOVE	LAUGHING AND CAN'T MOVE	0	0	0	0	2	0
CURSED AND CAN'T MOVE	CURSED AND CAN'T MOVE	0	0	0	0	2	0
CAN'T MOVE DUE TO LOVE STORY	CAN'T MOVE DUE TO LOVE STORY	0	0	0	0	2	0
TRIPPED AND CAN'T MOVE	TRIPPED AND CAN'T MOVE	0	0	0	0	2	0
CAN'T MOVE DUE TO DRAGOVIAN SEAL	CAN'T MOVE DUE TO DRAGOVIAN SEAL	0	0	0	0	2	0
DUMBFOUNDED AND CAN'T MOVE	DUMBFOUNDED AND CAN'T MOVE	0	0	0	0	2	0
COLLARED AND CAN'T MOVE	COLLARED AND CAN'T MOVE	0	0	0	0	2	0
